sourcetype,count
"microsoft_defender-3",681
"microsoft_defender-51",175
"microsoft_defender-52",152
"microsoft_defender-69",179
"microsoft_defender-70",167
"microsoft_defender-71",95
"microsoft_defender-72",96
"microsoft_defender-75",182
"microsoft_defender-76",157
"microsoft_defender-8",105
"microsoft_defender_core-10",122466
"microsoft_defender_core-11",471
"microsoft_defender_core-12",34271
"microsoft_defender_core-13",4
"microsoft_defender_core-14",196
"microsoft_defender_core-15",101256
"microsoft_defender_core-18",3269
"microsoft_defender_core-19",109
"microsoft_defender_core-2",469
"microsoft_defender_core-21",215
"microsoft_defender_core-24",23
"microsoft_defender_core-25",63
"microsoft_defender_core-29",4556
"microsoft_defender_core-3",6750
"microsoft_defender_core-33",4
"microsoft_defender_core-35",190
"microsoft_defender_core-39",204
"microsoft_defender_core-4",168
"microsoft_defender_core-5",1336
"microsoft_defender_core-6",7129
"microsoft_defender_core-7",180084
"microsoft_defender_core-8",12838
"microsoft_defender_core-9",35
"microsoft_defender_core_err",11536
"microsoft_defender_core_err-2",25365
"microsoft_defender_core_err-3",1317
"microsoft_defender_core_err-too_small",3610786
"microsoft_defender_diagnostic-3",481
"microsoft_defender_diagnostic-too_small",110
"microsoft_defender_diagnostic_err-too_small",84
"microsoft_defender_enterprise-12",185
"microsoft_defender_enterprise_err",459
"microsoft_defender_enterprise_err-2",719
"microsoft_defender_enterprise_err-3",97
"microsoft_defender_err-too_small",62
"microsoft_defender_mplog-2",3295
"microsoft_defender_mplog-too_small",537
"modular_alerts:get_io_vulnerability_summary",510
"modular_alerts:notable",44725
"modular_alerts:risk",1183060
"modular_alerts:victorops",17
"ms:defender:core",6817989
"ms:defender:ent",50314898
"ms:o365:audit:all",2902
"ms:o365:audit:general",2903
"ms:o365:security:events",2904
"ms:security:alerts",2902
"mscs:azure:eventhub",51137
"nessus_agent",66566
"nessus_messages",12239185
netstat,5189529
nfsiostat,1156384
"o365:graph:api",434226
"o365:management:activity",21156829
openPorts,1441034
"opensearch-2",6472
"opensearch-6",2096
"opensearch-8",1225
"opensearch-too_small",8711
"opensearch_deprecation-too_small",15
"osconfig_asb_perf",7676
"osconfig_asb_perf-2",15825
"osconfig_asb_perf-3",501074
"osconfig_asb_perf-4",58258
"osconfig_asb_perf-too_small",8060047
"osconfig_telemetry",3678
"osconfig_telemetry-2",8468
"p11_child",3033
package,86750
"page_log",13
"page_log-too_small",2
"pan:config",117
"pan:globalprotect:json",380753
"pan:netflow",7189183366
"pan:system",659887
"pan:system:json",2455807
"pan:threat",239068184
"pan:threat:json",139070765
"pan:traffic",666372652
"pan:traffic:json",439822891
"pan:userid",54750035
postgresql,40
powershell,13
"powershell:appx2",19735251
privacyidea,5594
protocol,5145774
ps,10378899
radius,34599
rhsm,85606
"rhsm-2",334
"rhsm-too_small",14
rhsmcertd,9832
"rhsmcertd-too_small",206
"rsa:securid:admin:syslog",44151
"rsa:securid:runtime:syslog",253228
"rsa:securid:system:syslog",2044
"rsyslog-impstats",166607
"rules-too_small",44
"sap:hana:audit",2256
secure,95167954
server,13217937
